                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94854,                 1.7085,                 1.5279,                0.31932,                0.61819,                0.40278,                0.17455,                  1.889,                 2.2004,                  2.594,             0.00033295,             0.00033295,             0.00033295
                      2,                0.94319,                 1.5149,                 1.5033,                0.42964,                0.64445,                0.52203,                0.35791,                 1.1743,                 1.4092,                 1.7846,             0.00062231,             0.00062231,             0.00062231
                      3,                0.88876,                 1.4395,                 1.4472,                0.53559,                 0.6647,                0.65149,                0.46362,                 1.1189,                 1.2361,                 1.6843,             0.00086767,             0.00086767,             0.00086767
                      4,                0.82275,                 1.3522,                 1.4001,                0.49768,                0.77575,                0.72618,                0.49956,                 1.1627,                 1.1821,                 1.7195,               0.000802,               0.000802,               0.000802
                      5,                0.78039,                 1.2543,                 1.3667,                0.67528,                0.72109,                0.77667,                0.55742,                 1.0091,                 1.0511,                 1.4992,               0.000736,               0.000736,               0.000736
                      6,                 0.7258,                 1.0977,                 1.5074,                0.65819,                0.75912,                0.77377,                0.54335,                  1.114,                0.96956,                 1.5785,                0.00067,                0.00067,                0.00067
                      7,                0.68563,                 1.0155,                 1.4549,                0.73088,                 0.7182,                0.79506,                0.60508,                0.96387,                0.94106,                 1.4263,               0.000604,               0.000604,               0.000604
                      8,                0.65494,                0.94523,                 1.4178,                 0.7068,                0.68911,                0.78616,                0.61215,                0.86357,                0.92827,                 1.3308,               0.000538,               0.000538,               0.000538
                      9,                0.63333,                0.91675,                 1.3962,                0.78267,                0.67712,                0.81916,                0.63782,                 0.8987,                0.85805,                 1.3155,               0.000472,               0.000472,               0.000472
                     10,                0.61114,                 0.8348,                 1.3651,                0.73907,                0.81693,                0.85761,                0.68444,                0.80632,                0.77017,                 1.2604,               0.000406,               0.000406,               0.000406
                     11,                0.57927,                0.77111,                 1.3387,                0.76618,                0.82221,                0.88451,                0.72617,                0.76122,                 0.7456,                 1.2025,                0.00034,                0.00034,                0.00034
                     12,                0.57277,                0.71569,                 1.3273,                0.84562,                0.75758,                 0.8809,                0.71606,                0.79559,                0.74206,                 1.2409,               0.000274,               0.000274,               0.000274
                     13,                0.55273,                0.67749,                 1.3106,                0.83165,                 0.7727,                0.89279,                 0.7425,                 0.7282,                0.66274,                 1.1663,               0.000208,               0.000208,               0.000208
                     14,                0.53885,                 0.6326,                 1.2945,                0.79451,                0.85384,                 0.9049,                0.75967,                0.71765,                0.62554,                  1.149,               0.000142,               0.000142,               0.000142
                     15,                0.51964,                0.57829,                 1.2778,                0.83173,                0.80752,                0.90458,                0.76775,                0.67985,                0.64276,                 1.1177,                7.6e-05,                7.6e-05,                7.6e-05
